"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"5203","訊連","          2621783","             17121","          2604662","              9618","              2855","          1725032","            872867","            172786","             48054","            997599","            168432","            829167","                  0","                  0","                  0","                  0","            829167","                  7.08"
"5234","達興材料","          2637142","          1967198","            669944","                  0","                  0","            359959","            309985","              2128","              5507","            306606","             15143","            291463","                  0","                  0","                  0","                  0","            291463","                  4.41"
"5258","虹堡","          1384251","          1020469","            363782","              4176","                  0","            156892","            202714","             11731","             11946","            202499","             36797","            165702","                  0","                  0","                  0","                  0","            165702","                  4.41"
"5259","清惠","            416168","            388869","             27299","                  0","                  0","             21799","              5500","             10026","             11196","              4330","              1985","              2345","                  0","                  0","                  0","                  0","              2345","                  0.07"
"5305","敦南科技","          9069917","          8596472","            473445","             16200","              2156","            699054","           -239653","            908118","             97084","            571381","             61123","            510258","                  0","                  0","                  0","                  0","            510258","                  1.14"
"5388","中磊電子","          8153833","          7127929","          1025904","                464","                403","            775972","            249871","            152719","             31790","            370800","             56352","            314448","                  0","                  0","                  0","                  0","            314448","                  1.88"
"5434","崇越科技","         11714201","         10419233","          1294968","                  0","              3026","            717716","            580278","            211871","             22306","            769843","            109849","            659994","                  0","                  0","                  0","                  0","            659994","                  4.53"
"5469","瀚宇博德","          2213589","          2052085","            161504","                  0","                  0","            256367","            -94863","            758832","             84052","            579917","             27836","            552081","                  0","                  0","                  0","                  0","            552081","                  1.25"
"5471","松翰科技","          4186912","          2404082","          1782830","             14580","                  0","            820380","            947870","             39784","             57872","            929782","            127746","            802036","                  0","                  0","                  0","                  0","            802036","                  4.78"
"5484","慧友電子","          1911197","          1549914","            361283","            -17642","                  0","            262761","            116164","             22789","             19973","            118980","             38510","             80470","                  0","                  0","                  0","                  0","             80470","                  0.75"
"5515","建國工程","          4907841","          4374672","            533169","                  0","                  0","            275641","            257528","            398493","             24879","            631142","             64194","            566948","                  0","                  0","                  0","                  0","            566948","                  1.70"
"5519","隆大營建","          2506973","          2060985","            445988","                  0","                  0","            132582","            313406","              3696","             14639","            302463","             10813","            291650","                  0","                  0","                  0","                  0","            291650","                  4.17"
"5521","工信","          8129623","          7713916","            415707","                  0","                  0","            182653","            233054","            123917","            100957","            256014","             27797","            228217","                  0","                  0","                  0","                  0","            228217","                  0.66"
"5522","遠雄建設","         19569082","         11180512","          8388570","                  0","                  0","          1498363","          6890207","            684337","            109112","          7465432","            771016","          6694416","                  0","                  0","                  0","                  0","          6694416","                  9.48"
"5525","順天建設","          1078628","            628263","            450365","                  0","                  0","            145934","            304431","             89215","             13391","            380255","             25695","            354560","                  0","                  0","                  0","                  0","            354560","                  1.66"
